customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,churn_reason,churn_flag,active_flag,tenure_group,age_group,monthly_charge_band,customer_value_segment,service_count,protection_support_service_count,referral_group,contract_risk_group,descriptive_risk_points,descriptive_risk_segment,avg_revenue_per_tenure_month,customer_engagement_profile,predicted_churn_probability,high_risk_at_selected_threshold,flag_high_value_high_risk,flag_early_fiber,flag_early_month_to_month,flag_senior_high_charge,flag_fiber_month_to_month,flag_month_to_month_no_support,flag_san_diego,primary_intervention,intervention_priority,recommended_action,base_offer_cost
2782-LFZVW,Female,52,No,No,No,No,0,United States,California,Costa Mesa,92627,33.645672,-117.922613,62069,Q3,No,0,11,Offer D,Yes,24.57,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,58.95,601.6,0.0,70,270.27,941.87,4,Stayed,No,21,3880,Not Applicable,Not Applicable,0,1,7–12 months,45–59,$35–$69.99,Core Value,4,0,No Referrals,Higher Contract Risk,3,High,85.62,Basic Relationship,0.3907451212420971,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
2501-XWWTZ,Male,51,No,No,No,No,0,United States,California,San Clemente,92673,33.4725,-117.584273,15297,Q3,No,0,11,No Offer,Yes,1.01,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.2,760.05,0.0,0,11.11,771.16,5,Stayed,No,34,2535,Not Applicable,Not Applicable,0,1,7–12 months,45–59,$70–$89.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,4,Very High,70.11,Basic Relationship,0.5633275846480877,True,False,True,False,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
3716-UVSPD,Male,54,No,No,No,No,0,United States,California,San Juan Capistrano,92675,33.521447,-117.602555,34321,Q3,No,0,1,No Offer,Yes,14.97,No,Yes,DSL,5,No,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.3,49.3,0.0,10,14.97,74.27,3,Joined,No,45,4209,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$35–$69.99,Core Value,3,1,No Referrals,Higher Contract Risk,2,Elevated,74.27,Basic Relationship,0.3827863992509584,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
6815-ABQFQ,Male,53,No,No,Yes,No,0,United States,California,Silverado,92676,33.782346,-117.635263,1859,Q3,Yes,1,56,No Offer,Yes,14.43,Yes,Yes,Fiber Optic,25,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.25,6033.3,0.0,0,808.08,6841.38,3,Stayed,No,70,5800,Not Applicable,Not Applicable,0,1,49–72 months,45–59,$90+,Premium Value,8,2,1–2 Referrals,Moderate Contract Risk,2,Elevated,122.17,Advocate,0.4304788494960428,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
7319-VENRZ,Male,19,Yes,No,No,No,0,United States,California,Rancho Santa Margarita,92688,33.624654,-117.611733,42193,Q3,No,0,7,Offer E,Yes,31.84,No,Yes,Cable,58,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,64.3,445.95,0.0,0,222.88,668.83,4,Stayed,No,40,4010,Not Applicable,Not Applicable,0,1,7–12 months,19–29,$35–$69.99,Core Value,6,2,No Referrals,Higher Contract Risk,2,Elevated,95.55,Protection Engaged,0.4773299212677477,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
8270-RKSAP,Male,30,No,No,No,No,0,United States,California,Anaheim,92801,33.844983,-117.952151,60553,Q3,No,0,9,Offer E,Yes,40.71,No,Yes,Fiber Optic,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.5,597.9,0.0,0,366.39,964.29,3,Stayed,No,37,3198,Not Applicable,Not Applicable,0,1,7–12 months,30–44,$70–$89.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,4,Very High,107.14,Basic Relationship,0.6973690016622819,True,False,True,False,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
1423-BMPBQ,Female,62,No,No,Yes,Yes,1,United States,California,Anaheim,92808,33.850452,-117.726668,19629,Q3,Yes,1,1,Offer E,Yes,28.28,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.0,19.0,0.0,0,28.28,47.28,4,Joined,No,44,2400,Not Applicable,Not Applicable,0,1,1–6 months,60–69,Under $35,Emerging Value,1,0,1–2 Referrals,Higher Contract Risk,3,High,47.28,Advocate,0.3632091694638637,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
9244-ZVAPM,Male,36,No,No,No,No,0,United States,California,Garden Grove,92845,33.782955,-118.026456,15878,Q3,No,0,1,No Offer,Yes,37.44,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.6,45.6,0.0,0,37.44,83.04,3,Joined,No,50,2352,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,3,High,83.04,Basic Relationship,0.3360586175042333,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
5172-MIGPM,Male,22,Yes,No,No,No,0,United States,California,Orange,92865,33.828779,-117.848299,18058,Q3,No,0,4,No Offer,Yes,13.31,Yes,Yes,Cable,59,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,65.55,237.2,0.0,0,53.24,290.44,4,Stayed,No,46,5707,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$35–$69.99,Premium Value,6,1,No Referrals,Higher Contract Risk,2,Elevated,72.61,Multi-Service,0.3798005445761953,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
1710-RCXUS,Male,53,No,No,Yes,No,0,United States,California,Orange,92866,33.784597,-117.844535,15396,Q3,No,0,51,No Offer,Yes,9.21,Yes,Yes,Fiber Optic,30,No,Yes,No,No,No,Yes,Yes,Yes,One Year,Yes,Credit Card,90.35,4614.55,0.0,0,469.71,5084.26,3,Stayed,No,26,4965,Not Applicable,Not Applicable,0,1,49–72 months,45–59,$90+,High Value,6,1,No Referrals,Moderate Contract Risk,3,High,99.69,Multi-Service,0.4506129079963146,True,True,False,False,False,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
5839-SUYVZ,Male,21,Yes,No,No,No,0,United States,California,Orange,92868,33.787796,-117.875928,23172,Q3,No,0,16,No Offer,Yes,38.32,No,Yes,Fiber Optic,82,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.55,1170.5,0.0,0,613.12,1783.62,3,Stayed,No,70,2893,Not Applicable,Not Applicable,0,1,13–24 months,19–29,$70–$89.99,Emerging Value,4,1,No Referrals,Higher Contract Risk,2,Elevated,111.48,Basic Relationship,0.3473341192476726,True,False,False,False,False,True,False,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
6464-KEXXH,Male,55,No,No,No,No,0,United States,California,Fillmore,93015,34.408161,-118.865111,16013,Q3,No,0,8,No Offer,No,0.0,No,Yes,Cable,16,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,25.25,186.3,0.0,0,0.0,186.3,3,Stayed,No,33,2372,Not Applicable,Not Applicable,0,1,7–12 months,45–59,Under $35,Emerging Value,2,0,No Referrals,Higher Contract Risk,3,High,23.29,Basic Relationship,0.485448305448383,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
4059-IIEBK,Female,51,No,No,No,No,0,United States,California,Ojai,93023,34.581308,-118.931948,21633,Q3,No,0,7,No Offer,Yes,40.76,Yes,Yes,Fiber Optic,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.55,522.95,47.19,0,285.32,761.08,3,Stayed,No,61,4025,Not Applicable,Not Applicable,0,1,7–12 months,45–59,$70–$89.99,Core Value,4,1,No Referrals,Higher Contract Risk,4,Very High,108.73,Basic Relationship,0.6153702942707884,True,False,True,False,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
3003-CMDUU,Female,22,Yes,No,Yes,No,0,United States,California,Santa Paula,93060,34.402343,-119.094824,32511,Q3,No,0,25,No Offer,Yes,29.81,No,Yes,Fiber Optic,52,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.15,2395.7,0.0,80,745.25,3220.95,3,Stayed,No,52,3273,Not Applicable,Not Applicable,0,1,25–48 months,19–29,$90+,Emerging Value,6,1,No Referrals,Higher Contract Risk,3,High,128.84,Multi-Service,0.8749214869794619,True,False,False,False,False,True,False,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
5016-IBERQ,Male,28,Yes,No,Yes,No,0,United States,California,Simi Valley,93063,34.296813,-118.685703,49027,Q3,Yes,1,23,No Offer,Yes,18.05,Yes,Yes,Fiber Optic,51,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,84.25,1968.1,8.3,0,415.15,2374.95,4,Stayed,No,33,2781,Not Applicable,Not Applicable,0,1,13–24 months,19–29,$70–$89.99,Emerging Value,5,2,1–2 Referrals,Higher Contract Risk,3,High,103.26,Advocate,0.731582221369119,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
8404-VLQFB,Female,21,Yes,No,Yes,Yes,1,United States,California,California Hot Springs,93207,35.865795,-118.69759,226,Q3,Yes,1,15,No Offer,Yes,29.55,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.25,394.85,0.0,0,443.25,838.1,3,Stayed,No,59,4667,Not Applicable,Not Applicable,0,1,13–24 months,19–29,Under $35,High Value,1,0,1–2 Referrals,Higher Contract Risk,2,Elevated,55.87,Advocate,0.3909672124196672,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
5183-SNMJQ,Male,32,No,No,No,No,0,United States,California,Frazier Park,93225,34.827662,-118.999073,4498,Q3,No,0,10,Offer D,Yes,45.69,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.1,865.1,43.25,0,456.9,1278.75,3,Stayed,No,33,5787,Not Applicable,Not Applicable,0,1,7–12 months,30–44,$90+,Premium Value,7,1,No Referrals,Higher Contract Risk,4,Very High,127.88,Multi-Service,0.4192096731014843,True,True,True,False,False,True,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
2800-VEQXM,Female,48,No,No,No,No,0,United States,California,Lebec,93243,34.845861,-118.885163,1247,Q3,No,0,3,No Offer,Yes,12.5,No,Yes,Fiber Optic,4,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.75,238.1,38.84,0,37.5,236.76,3,Joined,No,21,3319,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$70–$89.99,Emerging Value,4,1,No Referrals,Higher Contract Risk,4,Very High,78.92,Basic Relationship,0.7668172373338992,True,False,True,True,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
5760-IFJOZ,Male,57,No,No,No,No,0,United States,California,Richgrove,93261,35.809921,-119.127437,2956,Q3,No,0,3,No Offer,Yes,47.5,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,107.95,313.6,0.0,0,142.5,456.1,4,Joined,No,77,3449,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$90+,Emerging Value,8,2,No Referrals,Higher Contract Risk,5,Very High,152.03,Protection Engaged,0.8928831249373474,True,False,True,True,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
8040-MNRTF,Female,47,No,No,No,No,0,United States,California,Taft,93268,35.184837,-119.402525,14937,Q3,No,0,1,No Offer,Yes,37.51,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,71.1,71.1,0.0,0,37.51,108.61,5,Joined,No,64,3029,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$70–$89.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,4,Very High,108.61,Basic Relationship,0.7596794254251122,True,False,True,True,False,True,True,False,Early fiber assurance,2,"First-90-day fiber service-health check, rapid issue resolution, and plan review",40.0
1536-HBSWP,Female,33,No,No,No,No,0,United States,California,Terra Bella,93270,35.939068,-119.043666,5868,Q3,No,0,1,No Offer,Yes,14.93,No,Yes,DSL,4,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.9,49.9,0.0,0,14.93,64.83,3,Joined,No,56,4667,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,High Value,4,1,No Referrals,Higher Contract Risk,2,Elevated,64.83,Basic Relationship,0.4220264697819494,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
8262-COGGB,Male,53,No,No,No,No,0,United States,California,Visalia,93277,36.303793,-119.375646,44741,Q3,No,0,1,No Offer,Yes,11.61,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.45,20.45,0.0,0,11.61,32.06,3,Joined,No,48,5384,Not Applicable,Not Applicable,0,1,1–6 months,45–59,Under $35,Premium Value,1,0,No Referrals,Higher Contract Risk,3,High,32.06,Basic Relationship,0.4397820166269452,True,True,False,True,False,False,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
9450-TRJUU,Male,52,No,No,No,No,0,United States,California,Bakersfield,93306,35.449881,-118.841442,53481,Q3,No,0,35,No Offer,Yes,41.21,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.15,2848.45,18.84,0,1442.35,4271.96,4,Stayed,No,65,2332,Not Applicable,Not Applicable,0,1,25–48 months,45–59,$70–$89.99,Emerging Value,4,0,No Referrals,Higher Contract Risk,3,High,122.06,Basic Relationship,0.499653384536673,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
1766-GKNMI,Male,56,No,No,No,No,0,United States,California,Bakersfield,93307,35.280113,-118.962329,59195,Q3,No,0,29,No Offer,Yes,9.49,Yes,Yes,Fiber Optic,21,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9,2516.2,47.04,0,275.21,2744.37,3,Stayed,No,69,4388,Not Applicable,Not Applicable,0,1,25–48 months,45–59,$70–$89.99,Core Value,5,0,No Referrals,Higher Contract Risk,3,High,94.63,Multi-Service,0.5845194048641033,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
6942-LBFDP,Female,30,No,No,No,No,0,United States,California,Bakersfield,93308,35.559617,-118.925185,44915,Q3,No,0,2,No Offer,Yes,16.7,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.55,33.6,0.0,0,33.4,67.0,3,Joined,No,25,5629,Not Applicable,Not Applicable,0,1,1–6 months,30–44,Under $35,Premium Value,1,0,No Referrals,Higher Contract Risk,3,High,33.5,Basic Relationship,0.4347019942334821,True,True,False,True,False,False,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
1456-TWCGB,Male,34,No,No,No,No,0,United States,California,Bakersfield,93309,35.342891,-119.064803,58632,Q3,No,0,4,No Offer,Yes,38.01,No,Yes,Cable,5,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,49.25,208.45,0.0,0,152.04,360.49,3,Stayed,No,37,3272,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,Emerging Value,4,1,No Referrals,Higher Contract Risk,3,High,90.12,Basic Relationship,0.5565760410946796,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
5433-KYGHE,Female,53,No,No,No,Yes,1,United States,California,Avila Beach,93424,35.186644,-120.728305,812,Q3,No,0,14,Offer D,Yes,47.72,Yes,Yes,Fiber Optic,22,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,86.0,1164.05,0.0,0,668.08,1832.13,3,Stayed,No,33,5494,Not Applicable,Not Applicable,0,1,13–24 months,45–59,$70–$89.99,Premium Value,5,2,No Referrals,Higher Contract Risk,2,Elevated,130.87,Protection Engaged,0.3979187877533632,True,False,False,False,False,True,False,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
9944-AEXBM,Male,51,No,No,No,No,0,United States,California,Casmalia,93429,34.866032,-120.536546,210,Q3,No,0,32,No Offer,Yes,37.04,Yes,Yes,Fiber Optic,28,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,2664.3,0.0,0,1185.28,3849.58,3,Stayed,No,26,2383,Not Applicable,Not Applicable,0,1,25–48 months,45–59,$70–$89.99,Emerging Value,5,0,No Referrals,Higher Contract Risk,3,High,120.3,Multi-Service,0.64058521929227,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
1853-ARAAQ,Female,47,No,No,No,No,0,United States,California,Cayucos,93430,35.511833,-120.918713,3220,Q3,No,0,26,No Offer,No,0.0,No,Yes,DSL,7,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,50.35,1277.5,0.0,0,0.0,1277.5,5,Stayed,No,48,2510,Not Applicable,Not Applicable,0,1,25–48 months,45–59,$35–$69.99,Emerging Value,6,1,No Referrals,Higher Contract Risk,2,Elevated,49.13,Multi-Service,0.5048872817208668,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
1173-NOEYG,Female,25,Yes,No,Yes,No,0,United States,California,Santa Margarita,93453,35.303926,-120.256567,2687,Q3,Yes,1,27,No Offer,Yes,18.74,Yes,Yes,Fiber Optic,59,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.15,2423.4,0.0,0,505.98,2929.38,4,Stayed,No,67,5750,Not Applicable,Not Applicable,0,1,25–48 months,19–29,$90+,Premium Value,6,1,1–2 Referrals,Higher Contract Risk,4,Very High,108.5,Advocate,0.7997192294552932,True,True,False,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
6923-JHPMP,Female,35,No,No,No,No,0,United States,California,Templeton,93465,35.536115,-120.739231,7918,Q3,No,0,2,No Offer,Yes,35.41,No,Yes,Fiber Optic,25,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,137.1,0.0,0,70.82,207.92,4,Joined,No,67,5602,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$70–$89.99,Premium Value,5,2,No Referrals,Higher Contract Risk,4,Very High,103.96,Protection Engaged,0.6355222857725339,True,True,True,True,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
1635-FJFCC,Female,46,No,No,No,No,0,United States,California,Acton,93510,34.501452,-118.207862,7831,Q3,No,0,5,No Offer,Yes,10.99,No,Yes,DSL,29,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.05,202.15,0.0,0,54.95,257.1,5,Stayed,No,74,5846,Not Applicable,Not Applicable,0,1,1–6 months,45–59,$35–$69.99,Premium Value,3,0,No Referrals,Higher Contract Risk,3,High,51.42,Basic Relationship,0.3454293862133101,True,True,False,True,False,False,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
4718-DHSMV,Female,22,Yes,No,No,No,0,United States,California,Llano,93544,34.500091,-117.765862,1220,Q3,No,0,11,Offer D,No,0.0,No,Yes,DSL,52,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,35.8,363.15,0.0,0,0.0,363.15,5,Stayed,No,44,2534,Not Applicable,Not Applicable,0,1,7–12 months,19–29,$35–$69.99,Emerging Value,3,0,No Referrals,Higher Contract Risk,3,High,33.01,Basic Relationship,0.3586852249357583,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
5175-WLYXL,Male,56,No,No,No,No,0,United States,California,Fallbrook,92028,33.362575,-117.299644,42239,Q3,No,0,22,Offer D,Yes,30.35,Yes,Yes,Fiber Optic,10,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,78.85,1600.25,0.0,50,667.7,2317.95,5,Stayed,No,75,2444,Not Applicable,Not Applicable,0,1,13–24 months,45–59,$70–$89.99,Emerging Value,3,1,No Referrals,Higher Contract Risk,3,High,105.36,Basic Relationship,0.3574240217761758,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
4257-GAESD,Female,25,Yes,No,No,No,0,United States,California,Dinuba,93618,36.523619,-119.386868,24206,Q3,No,0,6,Offer E,No,0.0,No,Yes,Cable,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.0,298.7,0.0,0,0.0,298.7,5,Stayed,No,72,2270,Not Applicable,Not Applicable,0,1,1–6 months,19–29,$35–$69.99,Emerging Value,5,0,No Referrals,Higher Contract Risk,3,High,49.78,Multi-Service,0.6227419217863326,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
5173-WXOQV,Male,38,No,No,Yes,No,0,United States,California,Dos Palos,93620,37.045728,-120.630682,9388,Q3,Yes,2,2,Offer E,Yes,4.41,No,Yes,DSL,26,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,64.2,143.65,0.0,30,8.82,182.47,4,Joined,No,56,4369,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,Core Value,6,2,1–2 Referrals,Higher Contract Risk,2,Elevated,91.24,Advocate,0.5229108250691966,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
3196-NVXLZ,Female,23,Yes,No,No,No,0,United States,California,Orange Cove,93646,36.633498,-119.298895,8449,Q3,No,0,25,Offer C,Yes,9.57,Yes,Yes,Fiber Optic,59,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,84.6,2088.05,0.0,0,239.25,2327.3,3,Stayed,No,23,4874,Not Applicable,Not Applicable,0,1,25–48 months,19–29,$70–$89.99,High Value,4,0,No Referrals,Higher Contract Risk,3,High,93.09,Basic Relationship,0.4871504044077812,True,True,False,False,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
4220-TINQT,Female,41,No,No,Yes,No,0,United States,California,Raisin City,93652,36.594542,-119.905245,265,Q3,Yes,3,61,No Offer,Yes,27.63,Yes,Yes,Fiber Optic,29,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.35,6751.35,0.0,0,1685.43,8436.78,5,Stayed,No,35,5632,Not Applicable,Not Applicable,0,1,49–72 months,30–44,$90+,Premium Value,8,2,3–5 Referrals,Higher Contract Risk,3,High,138.31,Advocate,0.480075784275105,True,True,False,False,False,True,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
0295-QVKPB,Male,38,No,No,No,No,0,United States,California,Riverdale,93656,36.452211,-119.94575,5729,Q3,No,0,5,Offer E,Yes,13.96,No,Yes,DSL,5,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,63.95,318.1,0.0,0,69.8,387.9,4,Stayed,No,42,3099,Not Applicable,Not Applicable,0,1,1–6 months,30–44,$35–$69.99,Emerging Value,6,2,No Referrals,Higher Contract Risk,2,Elevated,77.58,Protection Engaged,0.456863818772028,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
6549-NNDYT,Female,59,No,No,No,No,0,United States,California,Fresno,93720,36.878709,-119.7645,45087,Q3,No,0,13,No Offer,No,0.0,No,Yes,Cable,7,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.85,394.1,0.0,0,0.0,394.1,3,Stayed,No,38,2444,Not Applicable,Not Applicable,0,1,13–24 months,45–59,Under $35,Emerging Value,3,1,No Referrals,Higher Contract Risk,2,Elevated,30.32,Basic Relationship,0.4955752350675773,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
7905-TVXTA,Female,63,No,No,No,No,0,United States,California,Salinas,93907,36.77462,-121.664714,22292,Q3,No,0,5,Offer E,Yes,8.32,No,Yes,DSL,22,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.35,352.65,0.0,0,41.6,394.25,4,Stayed,No,35,4771,Not Applicable,Not Applicable,0,1,1–6 months,60–69,$35–$69.99,High Value,6,2,No Referrals,Higher Contract Risk,2,Elevated,78.85,Protection Engaged,0.4562670798058454,True,False,False,True,False,False,False,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
3050-GBUSH,Female,25,Yes,No,No,No,0,United States,California,Burlingame,94010,37.57028,-122.365778,40346,Q3,No,0,3,No Offer,No,0.0,No,Yes,DSL,46,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,34.8,113.95,0.0,0,0.0,113.95,4,Joined,No,67,2496,Not Applicable,Not Applicable,0,1,1–6 months,19–29,Under $35,Emerging Value,3,0,No Referrals,Higher Contract Risk,3,High,37.98,Basic Relationship,0.5273626913611815,True,False,False,True,False,False,True,False,Early onboarding,3,Structured 30/60/90-day onboarding support and service education,25.0
0730-KOAVE,Male,53,No,No,No,No,0,United States,California,Redwood City,94062,37.410567,-122.297152,25569,Q3,No,0,30,Offer C,Yes,41.66,Yes,Yes,Fiber Optic,28,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.3,2679.7,0.0,0,1249.8,3929.5,3,Stayed,No,75,4219,Not Applicable,Not Applicable,0,1,25–48 months,45–59,$90+,Core Value,7,2,No Referrals,Higher Contract Risk,4,Very High,130.98,Protection Engaged,0.3585900453463855,True,False,False,False,False,True,True,False,Fiber quality and contract,5,Fiber diagnostics followed by a value-led contract-upgrade incentive,50.0
